16079	13759	1.0
14981	6253	2.0
14981	5490	2.0
16073	4047	1.0
16073	10167	1.0
16073	10773	1.0
16073	18752	1.0
16073	8561	1.0
16073	12228	1.0
1383	20936	1.0
1383	15315	1.0
1383	12034	1.0
16077	8206	1.0
16077	705	3.0
16077	5280	2.0
16077	4784	1.0
16077	11774	3.0
16077	12963	1.0
16076	8454	1.0
16076	15649	1.0
19715	5415	1.0
19715	16886	1.0
19715	6299	2.0
19715	95	1.0
19715	95	1.0
19715	18770	3.0
19715	18770	3.0
19715	4241	3.0
19715	18049	9.0
19715	4863	1.0
19715	4863	1.0
19715	17672	1.0
19715	10957	1.0
19715	10741	1.0
5316	11190	1.0
5316	16787	1.0
5316	18676	1.0
5316	20027	2.0
5316	9042	2.0
5316	18356	1.0
11543	13817	1.0
11543	8709	1.0
11543	10534	1.0
11543	1297	2.0
13735	21101	1.0
13735	15200	1.0
13735	18049	3.0
13735	9339	1.0
13735	10896	1.0
13735	6788	1.0
13735	12058	1.0
13735	18710	1.0
11541	13827	1.0
4022	6960	2.0
4022	6960	2.0
4022	19299	23.5
4022	19299	23.5
4022	19267	2.0
4022	19267	2.0
4022	19265	1.0
4022	9109	2.0
4022	6587	1.0
4022	16233	1.0
4022	15660	1.0
4022	15660	1.0
4022	12072	1.0
4022	20776	1.0
4022	18954	2.0
4022	1190	2.0
4022	2849	1.0
4022	2849	1.0
4022	3694	1.0
4022	3694	1.0
4022	15513	1.0
4022	19645	2.0
4022	19645	2.0
4022	12350	1.0
4022	9937	2.5
4022	9937	2.5
4022	14643	1.0
4022	20534	1.0
4022	20380	2.0
4022	3075	13.5
4022	3075	13.5
4022	13072	1.0
4022	13600	1.0
4022	2266	20.0
4022	2266	20.0
4022	4915	1.0
4022	6504	10.0
4022	13274	2.5
4022	13274	2.5
4022	9884	1.0
4022	13496	2.0
4022	13496	2.0
4022	1741	4.0
4022	1741	4.0
4022	11434	11.0
165	15881	2.0
1325	9498	1.0
1325	14165	1.0
11548	2598	1.0
11548	10435	1.0
11548	19265	1.0
7140	3178	4.0
7140	18179	4.0
7140	16782	4.0
7140	1549	4.0
7140	262	5.0
7140	6158	4.0
7140	936	4.0
5989	3392	1.0
5989	3392	1.0
5989	18707	6.0
5989	11255	6.0
5989	11255	6.0
5989	13759	6.5
5989	13759	6.5
5989	8561	2.0
5989	5754	1.0
5989	17405	2.0
5989	10034	8.0
5989	16707	7.0
5989	20471	2.0
5989	14458	1.0
11384	1024	1.0
11384	18049	3.0
11384	16804	10.0
11384	9046	2.0
11384	13342	4.0
11384	18287	1.0
11384	10864	2.0
11384	14450	1.0
11384	11408	1.0
11384	10485	1.0
11384	6448	1.0
11387	20471	2.0
10893	297	1.0
13294	15900	1.0
19849	9989	2.0
10896	21101	2.0
10896	17377	1.0
10896	18707	1.0
10896	2949	1.0
10896	2849	1.0
10896	3861	1.0
10896	454	3.0
10896	454	3.0
10896	3139	2.0
10896	1127	1.0
10896	9651	2.0
10896	11780	1.0
10896	3755	1.0
10896	3755	1.0
10896	10431	1.0
10896	6851	3.0
10896	20776	1.0
10896	15102	1.0
10896	1893	1.0
10896	1893	1.0
10896	1420	1.0
10896	1420	1.0
10896	3551	2.0
10896	1190	2.0
10896	3790	1.5
10896	3790	1.5
10896	6101	1.0
10896	9400	1.0
10896	10830	1.0
10896	7414	1.0
10896	6461	1.0
10896	4863	19.0
10896	4863	19.0
10896	502	2.0
10896	13594	2.0
10896	10230	1.0
10896	6734	1.0
10896	20534	1.0
10896	16536	2.0
10896	16536	2.0
10896	16465	1.0
10896	20609	2.0
10896	20609	2.0
10896	18049	1.0
10896	18049	1.0
10896	18770	1.0
10896	8757	4.0
10896	8757	4.0
10896	9339	1.0
10896	2426	1.0
10896	10722	1.0
10896	5384	2.0
10896	18287	1.0
10896	8454	2.0
10896	15421	1.5
10896	15421	1.5
10896	4886	1.33333333333
10896	4886	1.33333333333
10896	4886	1.33333333333
10896	20261	1.0
10896	1952	1.0
10896	6679	1.0
10896	5650	1.0
10896	12313	1.0
10896	12419	1.0
10896	2276	1.0
10896	2276	1.0
10896	5832	1.5
10896	5832	1.5
10896	74	3.0
10896	5460	1.0
10896	5460	1.0
10896	18927	1.0
10896	18927	1.0
10896	16878	2.0
10896	13556	1.0
10896	13599	1.0
10896	13599	1.0
10896	17897	1.0
10896	19945	1.0
10896	15595	2.0
10896	477	3.5
10896	477	3.5
10896	16113	2.0
10896	16113	2.0
10896	2266	2.0
10896	18629	3.0
10896	19413	1.0
10896	19414	1.0
10896	18823	1.0
10896	11434	2.0
17291	6299	1.0
347	18908	2.0
347	18908	2.0
19159	4836	1.0
19159	16953	1.0
19159	12231	1.0
19159	17802	1.0
19159	15608	6.0
19159	10029	1.0
19159	10029	1.0
19159	16806	1.0
19159	11461	1.0
19159	4560	2.0
19159	4560	2.0
19159	10776	1.0
19159	10776	1.0
19159	8914	1.0
19159	7693	1.0
19159	7693	1.0
19159	12850	1.0
19159	18384	1.0
19159	15101	2.0
