Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	zinc II ion transmembrane import (GO:0071578)	1/8	0.02061527621798845	0.15573367264311322	0.0172965713977996	0.12784655612842744	-3.4199015615262724	13.275110255101087	SLC39A12
GO_Biological_Process_2018	negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	1/7	0.018061341830881737	0.15573367264311322	0.015389070808343149	0.12784655612842744	-3.0746264797964664	12.341493610246015	DCST1
GO_Biological_Process_2018	chitin metabolic process (GO:0006030)	1/8	0.02061527621798845	0.15573367264311322	0.0172965713977996	0.12784655612842744	-3.1655140192830817	12.287648303332094	CHID1
GO_Biological_Process_2018	neurotransmitter loading into synaptic vesicle (GO:0098700)	1/7	0.018061341830881737	0.15573367264311322	0.015389070808343149	0.12784655612842744	-2.9574238205792027	11.871044311985415	SLC32A1
GO_Biological_Process_2018	choline catabolic process (GO:0042426)	1/7	0.018061341830881737	0.15573367264311322	0.015389070808343149	0.12784655612842744	-2.810140115072421	11.279850252365653	DMGDH
GO_Biological_Process_2018	mature B cell differentiation involved in immune response (GO:0002313)	1/10	0.025703615873135195	0.15573367264311322	0.021100887904691907	0.12784655612842744	-3.0458736349832227	11.15131985229954	DOCK11
GO_Biological_Process_2018	positive regulation of mitochondrial translation (GO:0070131)	1/10	0.025703615873135195	0.15573367264311322	0.021100887904691907	0.12784655612842744	-3.012359414613184	11.028620149116085	MPV17L2
GO_Biological_Process_2018	mitochondrial ribosome assembly (GO:0061668)	1/7	0.018061341830881737	0.15573367264311322	0.015389070808343149	0.12784655612842744	-2.7307353754779493	10.961121101762192	MPV17L2
GO_Biological_Process_2018	cellular biogenic amine catabolic process (GO:0042402)	1/9	0.023162695469086052	0.15573367264311322	0.01920050829246748	0.12784655612842744	-2.8664429988163103	10.792766288408927	DMGDH
GO_Biological_Process_2018	chitin catabolic process (GO:0006032)	1/8	0.02061527621798845	0.15573367264311322	0.0172965713977996	0.12784655612842744	-2.7240139080799497	10.573867205128419	CHID1
