Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	complement component C1q binding (GO:0001849)	2/10	0.0006287467471614083	0.029187405727624165	0.0015926641111397245	0.08228764574221911	-2.834159494833041	20.892805977663556	C1QBP;CALR
GO_Molecular_Function_2018	translation initiation factor activity (GO:0003743)	3/37	0.00037334987573677827	0.02893461536960031	0.0010491835218825883	0.08228764574221911	-1.8057813607719968	14.253022481167967	EIF2B3;EIF4G2;EIF3B
GO_Molecular_Function_2018	kinase binding (GO:0019900)	8/419	0.0001885585404743462	0.02893461536960031	0.0012593302488758365	0.08228764574221911	-1.5896196750619238	13.632740537716137	DBF4;CAV2;CEP152;TRADD;ADAM10;SCN5A;MAPK8IP2;MAP3K12
GO_Molecular_Function_2018	hyaluronic acid binding (GO:0005540)	2/19	0.002336881992726928	0.051745244124667654	0.00492229675578329	0.12036747783803728	-2.1309412683090447	12.911240429441442	C1QBP;HYAL2
GO_Molecular_Function_2018	ubiquitin-like protein ligase binding (GO:0044389)	6/298	0.0009491170479056899	0.02942262848507639	0.004114527624516827	0.12036747783803728	-1.8522246908160007	12.891443893385782	CD40;CBS;SYT11;CALR;SCN5A;FHIT
GO_Molecular_Function_2018	NAD(P)H oxidase activity (GO:0016174)	1/7	0.026302573963927767	0.15736360722362575	0.03959707479143546	0.2345608649111514	-3.387472807442545	12.323925780933573	AIFM1
GO_Molecular_Function_2018	protein homodimerization activity (GO:0042803)	8/665	0.003695809647885856	0.0524992647899005	0.01880768918735284	0.21833878089799755	-2.138124208244208	11.974683569393928	BNIP3L;CAV2;CBS;SYT11;DEFA5;ADAM10;TYR;MAP3K12
GO_Molecular_Function_2018	voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030)	2/24	0.0037257542754122962	0.0524992647899005	0.007496031703873714	0.1290983237889362	-2.100880671244711	11.749145652540625	CACNA1I;SCN5A
GO_Molecular_Function_2018	histone methyltransferase binding (GO:1990226)	1/7	0.026302573963927767	0.15736360722362575	0.03959707479143546	0.2345608649111514	-3.200939299452488	11.645300375269516	CBX3
GO_Molecular_Function_2018	voltage-gated sodium channel activity (GO:0005248)	2/24	0.0037257542754122962	0.0524992647899005	0.007496031703873714	0.1290983237889362	-2.0788115046864037	11.625724148467235	CACNA1I;SCN5A
